name,title,publisher_frequency,publisher_frequency_select,publisher_implementation_schedule,publisher_ui,publisher_field_exclusions,publisher_contact,image_url,display_name,publisher_iati_id,publisher_units,publisher_record_exclusions,publisher_data_quality,publisher_country,publisher_description,publisher_refs,publisher_thresholdspublisher_agencies,publisher_constraints,publisher_organization_type,publisher_segmentation,license_id,state,publisher_timeliness
brsp,Balochistan Rural Support Programme,Quarterly report is produced in fifteen days of the completion of the quarter. So the data will be shared as soon as the quarterly report is develop. ,quarterly,"15 May, 2019 to 31 December, 2020",0,0,"BRSP House, 5-A, Gulshan-e-Janan Street Sariab Road, Quetta-Pakistan.",0,0,PK-SEC-0023763,"The activity is defined as project, each project has a set of activities with defined outputs. ",0,0,PK,"Balochistan Rural Support Programme (BRSP) is an autonomous and not-for-profit organisation endeavouring to improve the living conditions of poor for the last three decades in the rural areas of Balochistan. BRSP's history goes back to the “Pak-German self-help Project” which was initiated in 1983 in collaboration with the Federal Republic of Germany and Government of Pakistan. In the year 1991, the successful manifestation of Integrated Rural Development programmes at a limited scale, paved the way for the transformation of the project into BRSP; and it was registered under Section 42 of the Companies Ordinance (1984) as a non-profit organisation dedicated to the cause of rural development in the province of Balochistan. BRSP has also been conferred with Award by African-Asian Rural Development Organisation (AARDO) in recognition of its services for development of rural areas particularly providing basic facilities like improved and sustainable water and sanitation services in the province. BRSP, was evaluated by Pakistan Centre of Philanthropy (PCP) for meeting standards in the areas of Internal Governance, Financial Management and Programme Delivery. BRSP is ISO 9001:2015 Certified. BRSP has two and half decade experience in implementing Rural Development multi-sector projects in partnership with Government of Pakistan and Provincial Government and bi-lateral donor agencies for rural uplift under different sectoral interventions. BRSP operates in 29 districts of Balochistan out of 34 districts. BRSP is the largest NGO in the province of Balochistan. The donors that have supported the cause of rural development in various sectors are  (KFW) Development Bank of Germany, European Union (EU), Pakistan Poverty Alleviation Fund (PPAF), PATRIP Foundation, German Agency for International Cooperation (GIZ), Balochistan Education Foundation (BEF), Benazir Income Support Program (BISP), German Federal Foreign Office and different UN Agencies such as Unicef, UNHCR, WFP etc. BRSP is governed by a 15-member Board of Directors (BoD). The Chief Executive Officer (CEO) heads a team of sector specialists. Programmes have been implemented through a netwrok of offices at district and field unit level across the  29 districts. BRSP's annual budget 15.32 Million Euros of FY 2019- 2020. This reflects the trust of donors on the Organization.",0,0,0,23,Country ,pddl,active,Within a month the data will be published. 
alliance_of_religions_and_conservation,Alliance of Religions and Conservation,0,not_specified,0,0,0,"6 Gay Street, Bath, BA1 2PH, UK",http://www.whydoicare.org/fr/logo-arc.png/image,0,GB-CHC-1047608,Programme,0,0,GB,"ARC is a secular body that helps the world's major faiths develop environmental programmes based on their own core teachings, beliefs and practices.",0,0,0,21,Country,cc-by,active,0
mia_india,Micro Insurance Academy,0,not_specified,0,0,0,0,0,0,IN-ITA-1886,0,0,0,IN,0,0,0,0,80,0,notspecified,active,0
afsc,American Friends Service Committee,0,not_specified,0,0,0,0,0,0,US-EIN-23-1352010,0,0,0,US,0,0,0,0,80,0,notspecified,active,0
dai,Dorcas Aid International,0,quarterly,0,0,0,"P.O.Box 12
1619 ZG ANDIJK
The Netherlands",0,0,NL-KVK-41236410,0,0,0,NL,"Dorcas is a Christian development and relief organisation committed to fulfil the command of Jesus Christ to care for and empower the poor and oppressed (Matt. 25:31-46). Dorcas has been involved in relief and development projects in Eastern Europe, the Middle East and Africa for 35 years and provides assistance irrespective of race, religion, gender and political affiliation.
Dorcas operates by funding development and social care projects of local partner organisations and by building their capacities in:
Sustainable livelihoods
Health
Water, sanitation and hygiene (WASH)
Child development
Social care
Disaster management
Partner development
As a learning organisation, Dorcas adheres importance to a learning attitude in its partner organisations and to the continuous improvements of their capabilities and competences for the quality of its relief and development projects.",0,0,0,21,0,odc-by,active,0
rainfoundation,RAIN Foundation (former),Data is exported in IATI XML format in real time from the project management system.,monthly,.n.a.,0,Transaction details : these data are available in a seperate accounting system and excluded.,"AIDENVIRONMENT
Barentszplein 7 
1013 NJ Amsterdam, The Netherlands 
Telephone: +31 (0)20 581 8250 
Email: info@aidenvironment.nl
",0,0,NL-KVK-34200988 (deprecated),0,The project manager of the project decides on publication status. The policy for that is work in progress. Generally only contracted projects are published.,The data may be incomplete or missing : IATI users are kindly invited to report omissions or errors.,NL,Please note that there are no new activities.,"If internal codelists are available, they are included in the IATI xml file as comments. Internal data that is needed for publishers, but that is not available in the IATI namespace, is added in the RAIN namespace. ",0,0,21,"Each project has a main funding programme, even if there is cofunding from other programmes. All activities are published in one single file. ",odc-by,active,0
rfuk,Rainforest Foundation UK,Data will be published on a quarterly basis.,0,0,0,0,"emily@rainforestuk.org
info@rainforestuk.org
020 7485 0193",0,0,GB-CHC-1138287,An activity is defined as a project. Sub-activities will correspond to budget headings.,Staff salaries will be excluded for staff security reasons.,Data is provided by the finance department and verified by the Programme Co-ordinator prior to publication.,GB,"The mission of the Rainforest Foundation is to support indigenous peoples and the traditional populations of the world's rainforests by:

•	Ensuring communities have adequate control over natural resources necessary for their long term well-being, managed in ways which do not harm their environment, violate their culture or compromise their future.

•	Developing processes which protect both their individual and collective rights and their ability to obtain and control basic state services.   
",0,0,0,21,IATI data will be segmented by country.,odc-pddl,active,Data will be published on a quarterly basis.
beehive,Beehive,0,monthly,0,0,0,"website: BeehiveCrowdfund.org
email: staff@beehivecrowdfund.org
mailing address: 150 Sutter Street, 813, San Francisco, CA 94104, USA",http://beehivecrowdfund.net/wp-content/uploads/2015/02/Beehivelogo200120c.png,0,US-EIN-311796801,0,0,0,US,"Beehive is a nonprofit organization launched by tech volunteers and veteran humanitarian actors, backed by private sector companies, foundations and individuals. We're working together to build and operate a unique new crowdfunding platform serving the professional humanitarian community that humanitarian organizations can collectively own, innovatively improve and use to practice reporting their operational needs and in real-time as needs arise in the field. Beehive is working on bringing aid activity reporting, compliant with the IATI Standard, down to the crowdfunding level,",0,0,0,21,0,cc-nc,active,Beehive will publish data on aid activities posted on its platform that reach their specified fundraising goals by the end of their crowdfunding campaigns (typically lasting 14 to 90 days)
mrc-sierra-leone,"Medical Research Centre (MRC), Sierra Leone",IATI data will be refreshed quarterly,0,0,MRC as a small local NGO does not have the capacity to provide a user interface for IATI data. ,Not applicable,"Medical Research Centre (MRC)
5 Frazier Davis Drive, off King Street, Congo Cross, Freetown, Sierra Leone
+232-76-684337
abduljalloh@mrc-sl.org",0,0,SL-NRA-1001562-8,MRC only deals with projects and will publish details at project level.,Not individual staff names or contact details will be included.,Data will be published after verification by program staff,SL,"Medical Research Centre (MRC) is a non-governmental organization based in Sierra Leone. MRC aims to contribute to the improvement of the health status of people in Sierra Leone by providing primary health care support, backed up by research services for the underserved communities in rural areas and support to human resource for health development.",Not applicable,0,Limited capacity in small local NGO ,22,IATI data will be published for one country (Sierra Leone) only as MRC is a local NGO. ,other-at,active,Within 3 months after data capture data will be published.
aiuk,Amnesty International UK Section Charitable Trust,0,not_specified,0,0,0,0,0,0,GB-CHC-1051681,0,0,0,GB,0,0,0,0,21,0,notspecified,active,0
amrefha,Amref Health Africa - UK,Quarterly,not_specified,0,"We are not planning to create an additional user interface at this stage. However, IATI data will be linked to our website. ",0,"Phone:+44 (0) 20 7269 5520 

Email: info@amrefuk.org
",http://www.aidstream.org/uploads/image/Amref.jpg,0,GB-CHC-261488,Projects,0,Reviewed by programmes and finance staff.,GB,"AMREF Health Africa is Africa’s health charity, bringing good quality health care closer to those who need it most. 

We started life in 1957 as the Flying Doctors of East Africa, to provide the most remote communities with health care. We have over 50 years’ experience working with marginalised and vulnerable people across East and Southern Africa, and our training reaches across all of sub-Saharan Africa. 

We believe that the power to transform Africa’s health lies within its communities. Amref Health Africa works side by side with the people of these communities to build the knowledge, skills and means to transform their health; laying foundations that will be felt for generations to come. 

Amref Health Africa  supports those at the heart of the communities, particularly women and children, to bring about lasting health improvement. Simply put, transforming Africa’s health from within.

Amref Health Africa's UK office raises funds for the organisation’s programmes in Africa and provides project support to its African offices.

http://www.amrefuk.org/",0,0,0,21,Per country,odc-by,active,A quarter in arrears
interpeace,Interpeace,0,not_specified,0,0,0,"2e Chemin Eugene-Rigot,
1202 Geneva,
Switzerland",0,0,CH-FDJP-CHE109994012,0,0,0,CH,0,0,0,0,21,0,notspecified,active,0
iwpr,Institute for War & Peace Reporting,n/a,lt_annually,n/a,Defined in IWPR's framework on data policy.,Defined in the framework of IWPR's data policy ,"48 Gray's Inn Road,
First Floor,
London,
WC1X 8LT",https://www.google.com/url?sa=i&source=images&cd=&ved=2ahUKEwjQ5qGq1srgAhWHA2MBHYxqDLcQjxx6BAgBEAI&url=https%3A%2F%2Fen.wikipedia.org%2Fwiki%2FFile%3AIWPR_logo.jpg&psig=AOvVaw1AQ1dPpLOAXSmNqXl31d_J&ust=1550764565580642,0,GB-CHC-1027201,Currently 'Activity' is defined at the project level. The IWPR will follow its internal matrix defining what will be published at which level. ,"Our exclusion Policy defines is available here: 
",The IWPR will only publish data that undergoes a robust internal verification. ,GB,"IWPR fills a critical gap by helping local journalists to focus on human rights and justice issues.
Produces reports from unstable parts of the world that are too often ignored by the mainstream media. ",More information will be available pending alterations to website ,0,To be defined in IWPR's framework on data policy.,21,"IATI data will be published as and when project/activity is deemed appropriate i.e. issues, completion etc. ",cc-nc,active,Data is published in relation to a reporting schedule and it is published as per the report submission deadlines. The IWPR will aim for publication of data on all projects with specific regularity in due course. 
beis,"UK - Department for Business, Energy and Industrial Strategy",0,not_specified,0,0,0,0,0,0,GB-GOV-13,0,0,0,GB,0,0,0,0,10,0,uk-ogl,active,0
unaids,United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),None,quarterly,N/A,"A redesign of the webportal “Investing for results”  is currently underway, including a view of the IATI data in the UNAIDS country profiles might be considered at a later stage",N/A,"UNAIDS Secretariat
20, Avenue Appia
CH-1211 Geneva 27
Switzerland
Telephone: +41 22 791 36 66
Fax: +41 22 791 4187",http://www.unaids.org/sites/default/files/unaids_eng.png,0,XM-DAC-41110,"Budgets and expenditures in USD per country office (budget center) are published. An overall expenditure figure per budget center is reported without further breakdown, this figure is comprised of activity, operations and staff workplan transactions","Only budgets and expenditures for the UNAIDS Secretariat are reported to avoid double-counting of information already reported or to be reported by other members of the Joint Programme (UNHCR,  UNICEF, WFP, UNDP, UNFPA, UNODC, UN Women, ILO, UNESCO, WHO and the World Bank)","All data registered in the Enterprise System is pre- checked for quality based by the workplan managers to ensure accuracy. At global level, the Planning, Finance and Accountability Department compiles, extracts, tabulates and validates the data in compliance with the generally accepted accounting principles",CH,"UNAIDS, the Joint United Nations Programme on HIV/AIDS, is an innovative partnership that leads and inspires the world in achieving universal access to HIV prevention, treatment, care and support. UNAIDS fulfills its mission by: a) uniting the efforts of the United Nations system, civil society, national governments, the private sector, global institutions and people living with and most affected by HIV; b) speaking out in solidarity with the people most affected by HIV in defense of human dignity, human rights and gender equality; c) mobilizing political, technical, scientific and financial resources and holding ourselves and others accountable for results; d) empowering agents of change with strategic information and evidence to influence and ensure that resources are targeted where they deliver the greatest impact and bring about a prevention revolution; and e) supporting inclusive country leadership for sustainable responses that are integral to and integrated with national health and development efforts","The reference documents cover the budget and accountability framework for the whole Joint Programme (Secretariat and 11 UN Cosponsor Agencies); the data reported to IATI however,  will be limited to the budget and expenditures that correspond to the Secretariat)",0,N/A,40,Each data file corresponds to one and only one budget center (country office),cc-by,active,"Expenditure and budget data is captured in the UNAIDS Enterprise System globally on a daily basis, information is extracted manually during Q1 of the following year to prepare financial end-of-year reports. Verified and cleared expenditure data is available during Q2"
chadet,Organisation for Child Development and Transformation,0,quarterly,0,Yes,0,"Lealem Tilahun
lealemt@chadet.org
",http://www.chadet.org/index.php,0,CHADET,Projects,0,Operational subject to change,ET,Finance Manager ,0,0,Child Protection,22,Country,notspecified,active,Quartely 
sida,"Sweden, through Swedish International Development Cooperation Agency (Sida)",Data is refreshed at least on a monthly basis.,monthly,http://is.gd/sweimpl,http://www.openaid.se,"activity-website, other-identifier, collaboration-type, transaction/aid-type, transaction/finance-type, transaction/tied-status, transaction/disbursement-channel, transaction/provider-org, transaction/receiver-org policy_marker/xml:lang are not included, due to their absence in the original data and/or irrelevance due to the corresponding data being detailed in other fields. For instance policy_marker/xml:lang specifies language which is consistently english, as has been specified in the containing activity. Another example is when the code value is given, the name value is not necessarily published.",sida@sida.se http://www.sida.se,http://www.openaid.se/wp-content/uploads/2015/03/Sweden.png,0,SE-0,"In case contract data is available, a contract corresponds to a level 1 activity, with the contribution linked in as level 2 children activites. In case contract data is not available, ie. for planned activities with status 1, each contribution corresponds to a single level 1 activity.",Data is excluded when security or diplomatic concerns prevents publication.,"Data is fetched from operational systems, and is thus subject to change.  ",SE,Sida works according to directives of the Swedish Parliament and Government to reduce poverty in the world. Sida has the mission to gather and publish IATI data for all Swedish government agencies that use official development cooperation funds.,Following IATI Standard.,0,"None. The IATI translation is being updated, and compliance may improve going forward.",10,By Countries and regions.,other-pd,active,"The data represents the current state of information in the operational systems at the moment of publication.
"
ifoam,IFOAM - Organics International,0,quarterly,0,0,0,"Charles de Gaulle 5, 53113, Germany ",0,0,DE-CR-BonnVR8726,0,0,0,DE,"IFOAM – Organics International, is the organic agent of change for true sustainability in agriculture, value chains and consumption; working on behalf of its membership, the global organic movement in over 120 countries.
IFOAM – Organics International has been the global organic umbrella organization since 1972. From the early days of the pioneers (i.e.‘Organic 1.0’) to the forming of the organic movement and the codification of standards and enforced rules that have established organic with a market value of over US$80 billion per year (i.e. ‘Organic 2.0’). Now the organic movement is entering a new phase that we call ‘Organic 3.0‘. Organic 3.0 positions organic as a modern, innovative system that has positive impacts on global environmental and social challenges. It is the overall strategic plan of the global organic movement for further growth and sustainability in order to increase the positive impact on the planet and the people.",0,0,0,21,0,notspecified,active,0
gogla,GOGLA - Global Off-Grid Lighting Association,"Data will be updated quarterly. We aim to publish information on transactions, with 1 month in arrears       ",not_specified,0,Available via Aidstream,0,"GOGLA (Global Off-Grid Lighting Association)
Arthur van Schendelstraat 500
3511 MH Utrecht
The Netherlands",https://s3.amazonaws.com/bizzabo.users.files/S2Jj5s2URlOoWrdYo74w_gogla_withouttagline%20-%20Copy.png,0,NL-KVK-62066064,Projects,0,0,NL,Research Advisor,Data uploaded via Aidstream,0,0,70,N/a ,cc-by,active,0
devresults,DevResults,0,not_specified,0,0,0,"641 S Street NW
3rd Floor
Washington, DC 20001",0,0,US-EIN-20-0763349,0,0,0,US,0,0,0,0,70,0,odc-pddl,active,0
dki1151219,DeafKidz International,N/A ,six_monthly,http://deafkidzinternational.org,Published evaluation reports are conducted by independent consultants and peer reviewed by sector / disability specialists ,N/A,"Chestnut Field House
Chestnut Field Way
Rugby
Warwickshire
CV21 2PD",0,0,GB-CHC-1151219,"Programmes
Projects
Specific and dedicated interventions ",N/A,None at present ,GB,"DeafKidz International works to respond to the protection and safeguarding needs of Deaf, hard of hearing, deafened and DeafBlind (D/deaf) children and young people in low resource and complex humanitarian settings. ",Not currently available,0,All available data is published ,21,As per unit of aid related to specific and dedicated geography concerned.,notspecified,active,Valid to within 6 months 
wcuk,War Child UK,Quarterly,0,0,0,0,"info@warchild.org.uk
5-7, Anglers Lane
London
NW5 3DG",0,0,GB-CHC-1071659,Projects,0,Data will be verified by finance and programmes teams prior to publication,GB,"War Child UK provides life-changing support to the most vulnerable children whose families, communities and schools have been torn apart by war in countries like Afghanistan, Iraq, Central African Republic, Uganda and Democratic Republic of Congo. ",N/A,0,0,21,No segmentation,cc-by,active,Quarterly in arrears
spuk,Samaritan's Purse UK,0,0,0,0,0,"Ruth Sanders
Samaritan's Purse UK
Victoria House
Victoria Road
Buckhurst Hill
Essex
IG9 5EX",0,0,GB-CHC-1001349,Quarterly,0,0,GB,0,0,0,0,21,0,cc-by,active,0
urda,Urgent Relief and Development Association,Quarterly basis,quarterly,Variable depends on the grand and the budget,0,None,"M Harpertsz Trompwg 225H
3317 BS Dordrecht",https://www.dropbox.com/l/scl/AACjbGgxHk_tP3XyQsIRSRXVcLyXAf2hssc,0,NL-KVK-65444655,Shelter- Relief- Health care- Education- Psychosocial support- Development- Sponserships,None, the data is accurate based on the standards required.,NL,"Our key incentive is to do all we can to prevent and alleviate the suffering of those that have become victims of political conflicts, or calamities such as war or major natural disasters. To do so, we aim to mobilise the power of all our volunteers and donors. We are fighting every minute of every day to finish what we started and aim to achieve.","https://www.urda.nl/nl/91/Programs
https://www.urda.nl/nl/102/Over-Ons
https://www.urda.nl/nl/172/waarden",0,None,21,per country,notspecified,active,one week
seefar,Seefar,0,not_specified,0,0,0,0,0,0,HK-CR-2091642,0,0,0,HK,0,0,0,0,70,0,cc-by,active,0
