Publisher Name,Publisher Registry Id,Version (with valid data),Reporting-Org (with valid data),Iati-identifier (with valid data),Participating Organisation (with valid data),Title (with valid data),Description (with valid data),Status (with valid data),Activity Date (with valid data),Sector (with valid data),Country or Region (with valid data),Average (with valid data),Version (with any data),Reporting-Org (with any data),Iati-identifier (with any data),Participating Organisation (with any data),Title (with any data),Description (with any data),Status (with any data),Activity Date (with any data),Sector (with any data),Country or Region (with any data),Average (with any data)
Adventist Development and Relief Agency (ADRA Somalia),adrasom,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
AECOM,aecom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Aeras,aeras,100,100,0,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
AFELT,afelt,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
AFEW International,afewinternational,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Afghanaid,afghanaid,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Afghanistan and Central Asian Association,acaa,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Afghanistan Public Policy Research Organization (APPRO),appro-af,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
Africa Educational Trust,aet,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Africalia,africalia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
African Center for Economic Transformation (ACET),acet,100,100,100,88,100,100,100,100,97,100,99,100,100,100,100,100,100,100,100,100,100,100
African Centre for Global Health and Social Transformation,achest,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
African Development Bank,afdb,100,100,100,100,100,94,100,100,100,100,99,100,100,100,100,100,94,100,100,100,100,99
African Initiatives,ai_1064413,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
African Population and Health Research Center,aphrc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
African Revival,africanrevival,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
African Women's Development Fund,awdf,100,100,100,20,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
Afrikagrupperna Sweden,afrikagrupperna,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AfriKids,afrikids,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Aga Khan Foundation (United Kingdom),akfuk73,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Aga Khan Foundation Afghanistan,akf_afghanistan,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
AgDevCo,agdevco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Agence Française de Développement,afd,100,100,100,100,99,100,100,92,100,100,99,100,100,100,100,99,100,100,92,100,100,99
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,anaepmr_benin,100,100,0,100,100,100,100,100,100,50,85,100,100,100,100,100,100,100,100,100,50,95
Agency for Cooperation and Research in Development (ACORD),acord,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AgResults Initiative,agresults,100,100,100,17,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
AgriProFocus,agriprofocus,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Agulhas Applied Knowledge,aak,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Agência de Desenvolvimento do Vale do Zambeze,agencia_do_zambeze,100,100,0,100,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,aics,100,100,100,100,100,100,100,100,53,100,95,100,100,100,100,100,100,100,100,53,100,95
AidData,aiddata,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Aids Fonds - STOP AIDS NOW! - Soa Aids Nederland,nl-kvk-41207989,100,100,100,52,100,100,100,100,100,79,93,100,100,100,100,100,100,100,100,100,99,100
AIDSPAN,aidspan,100,100,100,33,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
Ajuda de Desenvolvimento de Povo para Povo (ADPP),adpp,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Aktis Strategy Ltd,aktis,100,100,100,100,100,100,100,100,100,75,98,100,100,100,100,100,100,100,100,100,75,98
Akvo Foundation,akvo,100,100,100,100,100,100,100,100,100,73,97,100,100,100,100,100,100,100,100,100,73,97
Alcis Holdings Limited,alcis,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Alfalit,alfalit,100,100,0,100,0,0,100,0,0,0,40,100,100,0,100,0,0,100,100,100,0,60
All We Can (formerly Methodist Relief and Development Fund),allwecan,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Alliance of Religions and Conservation,alliance_of_religions_and_conservation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
American Friends Service Committee,afsc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Amnesty International The Netherlands,amnesty,100,100,100,100,100,100,100,100,100,83,98,100,100,100,100,100,100,100,100,100,89,99
Amnesty International UK Section Charitable Trust,aiuk,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Amref Flying Doctors,amrefnl,100,100,100,83,100,100,100,100,98,98,98,100,100,100,100,100,100,100,100,100,100,100
Amref Health Africa - UK,amrefha,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Amref Health Africa Headquarters,amrefhq,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Amref Health Africa in Ethiopia,amrefeth,100,100,100,100,100,100,100,100,100,50,95,100,100,100,100,100,100,100,100,100,50,95
Amref Health Africa in Kenya,amrefkenya,100,100,50,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
Amref Health Africa in Tanzania,amreftz,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Amref Health Africa in Uganda,amrefug,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Amref Health Africa Malawi,amrefmw,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ananda Marga Universal Relief Team (AMURT) Africa,amurt_kenya,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
ANDA,anda,100,100,0,100,0,0,100,0,0,0,40,100,100,0,100,0,0,100,100,100,0,60
Anti-Slavery International,asil,100,100,100,67,100,100,100,100,100,100,97,100,100,100,100,100,100,100,100,100,100,100
APPRO-Europe,appro-eu,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
APT Action on Poverty,apt,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Aqua for All,aqua4all,100,56,56,98,100,100,100,100,20,56,79,100,56,58,100,100,100,100,100,98,56,87
Arab foundation for freedoms and equality,afemena,100,100,100,33,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
ARK (Absolute Return for Kids),ark,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Article19,art19,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Asian Development Bank,asdb,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Association Centrafricaine de Traduction de la Bible et Alphabetisation,acatba,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Association for Cultural Technical and Educational Cooperation (ACTEC),actec,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Association for Progressive Communication,apc,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
Association for Reproductive and Family Health,arfh,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Association for Women's Rights in Development (AWID),awid,100,100,100,8,100,100,100,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100
Association of Commonwealth Universities,acu,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Association pour la Promotion de l'Education et de la Formation à l'Etranger,apefe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Atos IT Services Ltd,atosuk,100,33,100,100,100,100,100,100,100,100,93,100,33,100,100,100,100,100,100,100,100,93
Atradius Dutch State Business,adsb,100,100,100,100,100,100,100,100,100,96,100,100,100,100,100,100,100,100,100,100,96,100
Australia - Department of  Foreign Affairs and Trade,ausgov,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Auto-Développement Afrique (ADA),ada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Autre Terre asbl,a-t,100,100,100,29,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
Avanti Communications Plc,ava_admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Avocats Sans Frontières,asf,100,100,100,14,100,100,100,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100
AVSI FOUNDATION IN UGANDA,avsi_uganda,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AVT-L Association of Victims of Terrorism Lebanon,avt-l,100,100,100,100,100,100,100,100,100,8,91,100,100,100,100,100,100,100,100,100,8,91
AWEPA,awepa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Babawatoto Centre For Children and Youth,bawacecy-tz,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Backward Society Education (BASE),base_22,100,100,100,25,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
Bangladesh Nari Progati Sangha,bnps,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BasicNeeds,basicneeds,100,100,100,17,100,100,100,100,100,83,90,100,100,100,100,100,100,100,100,100,100,100
Baylor College of Medicine Children's Foundation Malawi,bcm-cf,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
BBC Media Action,bbcmediaaction,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BDO LLP,bdo,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bees Abroad UK,bauk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Bees for Development Trust,beesfordevelopment,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Belgian development agency (Enabel),enabel,100,100,100,94,100,100,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100
Belgian Development Cooperation,be-dgd,100,100,100,100,100,63,100,4,100,30,80,100,100,100,100,100,63,100,100,100,100,96
Benelux Afro Center,bac,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Berytech Foundation,berytech,100,100,100,0,100,100,100,100,100,33,83,100,100,100,100,100,100,100,100,100,33,93
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bill & Melinda Gates Foundation,bmgf,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bioclimate Research and Development,bioclimate,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Blue Ventures Conservation,blueventures,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Bond,bond,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BOS+ tropen,bos_plus_tropen,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Both ENDS,bothends,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BRAC,brac_admin2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BRAC International,bracintl,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Brigham and Women's Hospital,bwh,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
British & Irish Agencies Afghanistan Group,baag,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
British Asian Trust,b_a_t,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
British Council,britishcouncil,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
British Red Cross,gb-chc-220949,100,100,100,100,100,100,100,83,100,83,97,100,100,100,100,100,100,100,100,100,100,100
Broederlijk Delen,bd,100,100,82,100,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
Brulocalis,brulocalis,100,100,100,83,100,100,100,100,100,100,98,100,100,100,100,100,100,100,100,100,100,100
BSR,bsr_admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bucks Community NGO,bucksfarm,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Build Africa,buildafrica,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Burns Violence Survivors - Nepal,bvs-nepal,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
C40 Cities Climate Leadership Group,c40cities,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CABI,cabi,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Camfed International,camfed,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,100,100,100,98,100,99,100,100,100,100,100,100,100,100,100,100,99,100,100,100,100,100
Canada Department of Finance / Ministère des Finances Canada,finance_canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Canon Collins Trust,canoncollinstrust,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cardno Emerging Markets,cardnoem,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CARE BENIN/TOGO,carebenintogo,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CARE International Afghanistan,ciafg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CARE International in Zimbabwe,ciz,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CARE International UK,ciuk,0,100,100,100,100,100,100,0,100,29,73,100,100,100,100,100,100,100,100,100,100,100
CARE Nederland,carenederland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CARE SOMALIA,csom1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Carers Worldwide,cww,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Caribbean Development Bank (CDB),caribank,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Caritas Denmark,caritas_denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Caritas Finland,caritasfin,100,100,100,0,100,100,100,100,100,0,80,100,100,100,100,100,100,100,100,100,0,90
Caritas International (Belgium),cibe,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Caritas Serbia,caritas_serbia,100,100,100,0,100,100,100,100,100,0,80,100,100,100,100,100,100,100,100,100,0,90
Catholic Agency For Overseas Development (CAFOD),cafod,100,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100
Catholic Relief Services,crs,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CDA Collaborative Learning Projects,cda,100,100,100,0,100,100,100,25,100,25,75,100,100,100,0,100,100,100,25,100,25,75
CDC Group plc,cdc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Cecily's Fund,cecily,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Center for Civilians in Conflict,civic_admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Center for International Studies and Cooperation,ceci,100,100,100,100,100,100,100,100,100,0,90,100,100,100,100,100,100,100,100,100,0,90
Center for Research on Environment Health and Population Activities (CREHPA),crehpa,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Centre For Citizens With Disabilities,ccdnigeria,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Centre for Economic Policy Research,cepr,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Centre for Indian Knowledge Systems,ciks,100,100,100,0,100,100,100,100,100,0,80,100,100,100,0,100,100,100,100,100,100,90
Centre for the Study of Adolescence,csa-kenya,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Centre National de Coopération au Développement (CNCD-11.11.11),cncd,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Centre Tricontinental - CETRI,ct-admin,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),umati,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Charity Projects Ltd (Comic Relief),cprojects,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin,100,100,100,25,100,100,100,100,100,100,93,100,100,100,100,100,100,100,100,100,100,100
CHEKA SANA TANZANIA,cst,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Chemonics International Inc.,chemonics,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Child-to-Child,ctc,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
ChildFund International,childfund,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
ChildHope UK,childhopeuk,100,100,100,50,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100
Children in Crisis,cic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CHOICE for Youth and Sexuality,cfyas,100,100,100,100,100,100,100,100,69,100,97,100,100,100,100,100,100,100,100,100,100,100
Christian Aid,caid,63,100,100,59,99,81,100,0,2,96,70,100,100,100,100,99,81,100,100,4,100,88
Christian Aid Ireland,caid_ireland,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Christian Blind Mission (UK) Ltd.,cbm,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Christian Engineers in Development,ced,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
CIFAL Scotland,cifal,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CINI,cini_jhk,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
CISU,cisu,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CIVICUS World Alliance for Citizen Participation,civicus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CLASP,clasp,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Clean Clothes Campaign,ccc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Climate Investment Funds,cif,100,100,98,0,100,100,100,100,0,100,80,100,100,100,100,100,100,100,100,0,100,90
Climate Policy Initiative,cpi,100,100,100,0,100,100,100,100,100,0,80,100,100,100,100,100,100,100,100,100,0,90
Clinton Health Access Initiative,chai,100,100,100,100,100,100,100,100,100,50,95,100,100,100,100,100,100,100,100,100,100,100
CNV Internationaal,nl-kvk-54436222-27541,100,100,100,10,100,100,100,100,100,100,91,100,100,100,100,100,100,100,100,100,100,100
COC Nederland,cocnl_publisher,100,100,100,38,100,100,100,100,100,100,94,100,100,100,100,100,100,100,100,100,100,100
CODA International,coda,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,0
Coffey International Development,coffey,100,100,100,23,100,100,100,100,100,100,92,100,100,100,100,100,100,100,100,100,100,100
ColaLife,colalife,100,100,100,0,100,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100
Collectif Stratégies Alimentaires,csa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Comité pour l'abolition des dettes illégitimes,cadtm,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
COMMISSION JUSTICE ET PAIX ASBL (cjp),cjp,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Adja-Ouere - Bénin,adja-ouere,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Adjarra - Bénin,adjarra,100,0,0,100,100,100,100,100,100,100,80,100,0,100,100,100,100,100,100,100,100,90
Commune de Adjohoun - Bénin,adjohoun,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Akpro-Missérété - Bénin,akpro-misserete,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Allada - Bénin,allada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Aplahoué - Bénin,aplahoue,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Avrankou - Bénin,avrankou,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Bopa - Bénin,bopa,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Commune de Comè - Bénin,come,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
